window_days,rank,start_date,end_date,net_cash_flow,avg_per_day
1,1,2025-07-21,2025-07-21,38768343.0,38768343.0
1,2,2024-11-20,2024-11-20,37954939.0,37954939.0
1,3,2025-06-30,2025-06-30,18843641.0,18843641.0
1,4,2025-07-22,2025-07-22,13630627.0,13630627.0
1,5,2025-07-10,2025-07-10,9370064.0,9370064.0
1,6,2025-07-01,2025-07-01,6542733.0,6542733.0
1,7,2025-06-25,2025-06-25,3185620.0,3185620.0
1,8,2024-03-12,2024-03-12,2626170.0,2626170.0
1,9,2025-05-30,2025-05-30,2315840.0,2315840.0
1,10,2025-03-27,2025-03-27,1633185.0,1633185.0
5,1,2025-07-18,2025-07-22,52912329.0,10582465.8
5,2,2024-11-16,2024-11-20,37954939.0,7590987.8
5,3,2025-06-27,2025-07-01,26687757.0,5337551.4
5,4,2025-07-06,2025-07-10,11672827.0,2334565.4
5,5,2025-06-22,2025-06-26,3287065.0,657413.0
5,6,2024-03-08,2024-03-12,2609870.0,521974.0
5,7,2025-05-29,2025-06-02,2243907.0,448781.4
5,8,2025-03-23,2025-03-27,1701584.0,340316.8
5,9,2025-08-16,2025-08-20,1181656.0,236331.2
5,10,2024-02-10,2024-02-14,1109519.0,221903.8
10,1,2024-11-11,2024-11-20,37834023.0,3783402.3
10,2,2025-06-22,2025-07-01,29974822.0,2997482.2
10,3,2025-07-18,2025-07-27,7910763.0,791076.3
10,4,2024-03-03,2024-03-12,2445500.0,244550.0
10,5,2025-05-22,2025-05-31,2211095.0,221109.5
10,6,2025-08-11,2025-08-20,1725713.0,172571.3
10,7,2025-03-20,2025-03-29,1680246.0,168024.6
10,8,2024-02-05,2024-02-14,1109519.0,110951.9
10,9,2023-12-13,2023-12-22,214543.0,21454.3
10,10,2024-10-22,2024-10-31,187879.0,18787.9
