rank,symbol,start_date,end_date,days,net_cash_flow,buy_count,sell_count
1,T-REX 로빈후드 데일리 타겟,2025-04-30,2025-07-18,80,59845143.0,21,14
2,그래닛셰어즈 코인베이스 데일리,2024-05-29,2025-09-18,478,48017310.0,52,44
3,디렉시온 테슬라 2배 ETF,2024-02-15,2025-07-15,517,43128465.0,29,11
4,T-REX 스트래티지 타겟 2배 ETF,2024-09-30,2025-07-21,295,25717249.0,78,39
5,T-REX 스트래티지 타겟 2배,2025-03-19,2025-07-21,125,15866434.0,27,26
6,디렉시온 데일리 팔란티어,2025-03-04,2025-07-15,134,10724226.0,9,8
7,디파이언스 스트래티지 2배 롱,2024-10-11,2025-04-17,189,10595913.0,12,7
8,디렉시온 넷플릭스 2배 ETF,2025-07-22,2025-07-22,1,7771268.0,0,1
9,그래닛셰어즈 엔비디아 데일리,2024-03-13,2025-08-20,526,7087228.0,19,8
10,반에크 금광 ETF,2025-06-25,2025-06-26,2,6368513.0,20,1
11,레버리지 셰어즈 ASML 홀,2025-07-21,2025-07-21,1,5021943.0,3,1
12,비트코인 전략 2배 ETF,2024-02-14,2024-10-11,241,4960173.0,13,8
13,튜크리움 엑스알피(리플) 데일리 2,2025-05-30,2025-06-27,29,4870525.0,0,4
14,디렉시온 TSMC 2배,2025-07-22,2025-07-22,1,3885983.0,4,1
15,튜크리움 엑스알피(리플),2025-05-19,2025-06-26,39,1838743.0,4,6
16,디렉시온 세계 금광 2배 ETF,2025-06-25,2025-07-09,15,1549598.0,14,4
17,디렉시온 데일리 버크셔 해서웨이,2025-03-18,2025-07-10,115,1476596.0,54,13
18,로빈후드,2025-04-30,2025-07-17,79,1324145.0,32,9
19,마이크로섹터 금광 3배 ETN,2025-06-27,2025-07-08,12,1296775.0,0,3
20,T-REX 로빈후드 데일리 타겟 2배,2025-05-12,2025-07-16,66,986829.0,1,2
21,씨티그룹,2025-07-17,2025-07-18,2,842405.0,53,2
22,제이피모건 체이스,2025-07-02,2025-07-17,16,598327.0,3,6
23,이더리움 2배 ETF,2024-08-29,2025-05-23,268,487951.0,19,5
24,뱅크오브아메리카,2025-07-17,2025-07-18,2,482781.0,4,3
25,코인베이스,2024-04-02,2025-06-26,451,434633.0,6,3
26,디렉시온 미국 반도체,2024-03-07,2025-07-18,499,371493.0,7,5
27,디파이언스 힘스 앤 허스,2025-07-22,2025-07-22,1,217782.0,10,1
28,레버리지 셰어즈 팔란티어,2025-07-02,2025-07-11,10,206486.0,6,2
29,마이크로섹터 미국 은행,2025-07-17,2025-07-17,1,188541.0,0,2
30,디파이언스 아이온큐 2,2025-07-14,2025-07-14,1,183687.0,1,1
31,그래닛셰어즈 알리바바 데일,2025-07-14,2025-07-14,1,135491.0,1,1
32,마이크로섹터 미국 은행 3배,2025-07-17,2025-07-17,1,125227.0,0,1
33,비트코인 전략 2배,2024-08-30,2024-08-30,1,107304.0,0,0
34,디렉시온 미국 반도체 3배,2025-05-08,2025-08-20,105,100818.0,3,3
35,프로셰어즈 트러스트,2024-09-23,2024-09-24,2,70864.0,1,1
36,솔라나 2배 ETF,2025-05-19,2025-05-23,5,59766.0,6,1
37,T-REX 스트래티지 데일리,2025-08-20,2025-08-20,1,37181.0,1,1
38,디파이언스 스트래티,2024-09-24,2024-09-25,2,36206.0,1,1
39,그래닛셰어즈 엔비디아 데일리 2,2025-07-16,2025-07-16,1,31929.0,2,3
40,골드만삭스,2025-07-17,2025-07-18,2,23802.0,3,1
41,일드맥스 코인베이스,2025-05-28,2025-05-28,1,12424.0,0,1
42,프로셰어즈 트러스트 울트라,2025-05-05,2025-05-05,1,4853.0,0,1
43,디파이언스 스트래티지 2배,2025-07-21,2025-07-21,1,3639.0,1,3
44,그래닛셰어즈 애플 데일리,2024-05-10,2024-05-16,7,3425.0,4,1
45,엔비디아,2024-05-28,2025-05-14,352,2664.0,0,27
46,프로셰어즈 비트코인 선물,2024-04-19,2024-05-24,36,2578.0,3,2
47,프로셰어즈 비트코인 선물 ETF,2024-04-02,2024-10-31,213,950.0,3,2
48,게임스탑,2025-06-18,2025-06-19,2,497.0,1,1
49,테슬라,2024-04-09,2025-06-24,442,402.0,0,5
50,프로셰어즈 QQQ 3배 ETF,2024-04-02,2024-06-12,72,291.0,0,1
51,리얼티 인컴,2024-04-04,2024-04-04,1,101.0,0,1
52,리얼티 인컴,2024-03-21,2025-08-12,510,100.0,0,1
53,비트 오리진,2025-04-29,2025-04-29,1,45.0,4,1
54,스프랏 금 현물 신탁 펀드,2025-05-08,2025-05-08,1,31.0,1,1
